epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,726.132,0.80519,0.88795,0.92424,0.98128,0.92837,0.97311,0.83744,0.62538,0.76014,0.90634,0.00071504,0.00071504,0.00071504
20,764.11,0.82406,0.87737,0.91801,0.9888,0.95417,0.97522,0.83097,0.64693,0.72361,0.91881,0.000693042,0.000693042,0.000693042
21,801.506,0.77391,0.82052,0.91917,0.96236,0.92585,0.96416,0.83133,0.63046,0.7443,0.91157,0.000671044,0.000671044,0.000671044
22,838.991,0.77019,0.82152,0.91873,0.97782,0.95488,0.97035,0.82904,0.63623,0.68165,0.90413,0.000649046,0.000649046,0.000649046
23,876.37,0.77928,0.80196,0.92358,0.97893,0.94959,0.97354,0.83427,0.63243,0.70249,0.89394,0.000627048,0.000627048,0.000627048
24,913.831,0.68617,0.74572,0.8927,0.96417,0.93006,0.96282,0.83702,0.58587,0.69537,0.90906,0.000605051,0.000605051,0.000605051
25,951.176,0.72578,0.73598,0.89789,0.97247,0.97147,0.97683,0.84843,0.56623,0.68005,0.88681,0.000583053,0.000583053,0.000583053
26,988.789,0.74028,0.76445,0.90508,0.96996,0.95394,0.97311,0.84982,0.56673,0.63706,0.87788,0.000561055,0.000561055,0.000561055
27,1026.55,0.73741,0.73834,0.9012,0.98556,0.97113,0.97946,0.86708,0.54064,0.61508,0.88347,0.000539057,0.000539057,0.000539057
28,1064.7,0.67522,0.69393,0.88874,0.9761,0.95674,0.97643,0.84346,0.60402,0.63492,0.88102,0.000517059,0.000517059,0.000517059
29,1102.3,0.69028,0.69711,0.89286,0.97183,0.95104,0.97361,0.8466,0.55498,0.62,0.87812,0.000495062,0.000495062,0.000495062
30,1139.66,0.69513,0.68767,0.88194,0.96253,0.93671,0.96899,0.85185,0.58639,0.61352,0.88485,0.000473064,0.000473064,0.000473064
31,1176.7,0.70328,0.69449,0.89993,0.98512,0.96571,0.98484,0.8645,0.55454,0.57981,0.86215,0.000451066,0.000451066,0.000451066
32,1214.32,0.67002,0.66806,0.88104,0.97367,0.96787,0.97648,0.86213,0.56127,0.59743,0.88148,0.000429068,0.000429068,0.000429068
33,1251.58,0.70677,0.6998,0.90044,0.99067,0.968,0.97909,0.86783,0.49433,0.56099,0.86579,0.00040707,0.00040707,0.00040707
34,1289.75,0.62637,0.63729,0.88546,0.98369,0.96757,0.98038,0.85791,0.54022,0.58825,0.86702,0.000385073,0.000385073,0.000385073
35,1327.04,0.64488,0.64738,0.8866,0.99157,0.95645,0.98307,0.88908,0.48472,0.55415,0.86744,0.000363075,0.000363075,0.000363075
36,1364.96,0.6546,0.66203,0.89027,0.98575,0.97335,0.98559,0.88105,0.50354,0.56184,0.86345,0.000341077,0.000341077,0.000341077
37,1402.57,0.64201,0.63394,0.88044,0.98895,0.97625,0.98404,0.87157,0.5185,0.5522,0.86529,0.000319079,0.000319079,0.000319079
38,1439.78,0.64465,0.6455,0.89935,0.97842,0.97737,0.9836,0.86883,0.5268,0.55809,0.87398,0.000297081,0.000297081,0.000297081
39,1477.15,0.62698,0.63182,0.87973,0.97936,0.97551,0.98409,0.8838,0.48047,0.5533,0.85801,0.000275084,0.000275084,0.000275084
40,1515.4,0.60894,0.60255,0.87436,0.9852,0.97093,0.98645,0.88138,0.49524,0.54661,0.85401,0.000253086,0.000253086,0.000253086
41,1552.52,0.62439,0.6999,0.85639,0.99256,0.97385,0.98604,0.88055,0.4904,0.56891,0.8521,0.000231088,0.000231088,0.000231088
42,1589.3,0.6247,0.6714,0.86759,0.98874,0.96895,0.98211,0.89301,0.46121,0.51317,0.85262,0.00020909,0.00020909,0.00020909
43,1626.84,0.61971,0.66578,0.86816,0.98244,0.97191,0.98557,0.89105,0.48132,0.5257,0.85371,0.000187092,0.000187092,0.000187092
44,1664.25,0.61388,0.66262,0.86892,0.99155,0.97583,0.98321,0.87522,0.48514,0.50679,0.85332,0.000165095,0.000165095,0.000165095
45,1701.35,0.58284,0.63351,0.87394,0.99155,0.97555,0.98475,0.89371,0.45474,0.49181,0.84853,0.000143097,0.000143097,0.000143097
46,1739.14,0.56744,0.62298,0.86441,0.99186,0.97808,0.98687,0.90712,0.43159,0.4981,0.84368,0.000121099,0.000121099,0.000121099
47,1776.54,0.57771,0.61957,0.86472,0.98233,0.98011,0.98598,0.89982,0.43297,0.49652,0.84426,9.91012e-05,9.91012e-05,9.91012e-05
48,1813.52,0.56393,0.61265,0.85649,0.97916,0.9791,0.98505,0.90114,0.43319,0.4978,0.84398,7.71034e-05,7.71034e-05,7.71034e-05
49,1850.35,0.57451,0.63945,0.8622,0.985,0.97939,0.98493,0.89895,0.44391,0.50887,0.84437,5.51056e-05,5.51056e-05,5.51056e-05
50,1887.06,0.5406,0.60811,0.86336,0.98078,0.98387,0.98605,0.90139,0.43574,0.50005,0.84316,3.31078e-05,3.31078e-05,3.31078e-05
